10-23 23:58:25, ProcessMonitorThread::checkState, pid: 1032, owner: cameraserver, res_mem: 58M, status: S, cpu(%): 39.8, mem(%): 0.3, cmd: vendor.qti.camera.provider@2.8-service_64
10-23 23:58:25, ProcessMonitorThread::checkState, pid: 3097, owner: u0_a133, res_mem: 85M, status: S, cpu(%): 0.0, mem(%): 0.5, cmd: com.qualcomm.qti.xrcb
10-23 23:58:25, ProcessMonitorThread::checkState, pid: 3029, owner: system, res_mem: 102M, status: S, cpu(%): 0.0, mem(%): 0.6, cmd: com.qualcomm.qti.spaces.services:QXRCoreServiceProcess
10-23 23:58:25, ProcessMonitorThread::checkState, pid: 2294, owner: system, res_mem: 126M, status: S, cpu(%): 0.0, mem(%): 0.8, cmd: com.android.cpmcamera
10-23 23:58:25, ProcessMonitorThread::checkState, pid: 2108, owner: system, res_mem: 86M, status: S, cpu(%): 0.0, mem(%): 0.5, cmd: com.qualcomm.qti.xrbootstrap
10-23 23:58:35, ProcessMonitorThread::checkState, pid: 2356, owner: system, res_mem: 345M, status: S, cpu(%): 56.4, mem(%): 2.2, cmd: com.android.perceptionhost
10-23 23:58:35, ProcessMonitorThread::checkState, pid: 1032, owner: cameraserver, res_mem: 58M, status: S, cpu(%): 42.0, mem(%): 0.3, cmd: vendor.qti.camera.provider@2.8-service_64
10-23 23:58:35, ProcessMonitorThread::checkState, pid: 3097, owner: u0_a133, res_mem: 85M, status: S, cpu(%): 0.0, mem(%): 0.5, cmd: com.qualcomm.qti.xrcb
10-23 23:58:35, ProcessMonitorThread::checkState, pid: 3029, owner: system, res_mem: 102M, status: S, cpu(%): 0.0, mem(%): 0.6, cmd: com.qualcomm.qti.spaces.services:QXRCoreServiceProcess
10-23 23:58:35, ProcessMonitorThread::checkState, pid: 2294, owner: system, res_mem: 126M, status: S, cpu(%): 0.0, mem(%): 0.8, cmd: com.android.cpmcamera
10-23 23:58:35, ProcessMonitorThread::checkState, pid: 2108, owner: system, res_mem: 86M, status: S, cpu(%): 0.0, mem(%): 0.5, cmd: com.qualcomm.qti.xrbootstrap
10-23 23:58:45, ProcessMonitorThread::checkState, pid: 2356, owner: system, res_mem: 348M, status: S, cpu(%): 56.4, mem(%): 2.2, cmd: com.android.perceptionhost
10-23 23:58:45, ProcessMonitorThread::checkState, pid: 1032, owner: cameraserver, res_mem: 58M, status: S, cpu(%): 43.3, mem(%): 0.3, cmd: vendor.qti.camera.provider@2.8-service_64
10-23 23:58:45, ProcessMonitorThread::checkState, pid: 3097, owner: u0_a133, res_mem: 85M, status: S, cpu(%): 0.0, mem(%): 0.5, cmd: com.qualcomm.qti.xrcb
10-23 23:58:45, ProcessMonitorThread::checkState, pid: 3029, owner: system, res_mem: 102M, status: S, cpu(%): 0.0, mem(%): 0.6, cmd: com.qualcomm.qti.spaces.services:QXRCoreServiceProcess
